# X_um	Y_um
21.863251 1.417743
21.863251 1.992503
21.927114 2.503401
21.927114 3.142024
21.927114 3.716785
21.927114 4.355407
21.990976 4.930168
21.990976 5.504929
21.990976 6.015827
21.990976 6.654450
21.990976 7.356935
21.990976 8.123282
22.054838 8.761905
21.990976 9.336665
21.990976 9.911426
22.054838 10.550049
22.054838 11.252534
22.054838 11.891156
22.054838 12.593642
22.054838 13.168402
22.054838 13.743163
22.118701 14.381785
22.118701 14.892684
22.118701 15.467444
22.118701 16.042205
22.118701 16.616965
22.118701 17.191726
22.182563 17.702624
22.118701 18.277384
22.182563 18.852145
22.118701 19.426905
22.182563 19.937804
22.182563 20.512564
22.182563 21.151187
22.182563 21.725948
22.182563 22.492295
22.182563 23.130918
22.182563 23.769540
22.182563 24.408163
22.182563 24.919062
22.246425 25.557684
22.246425 26.068583
22.246425 26.643343
22.246425 27.345828
22.246425 27.984451
22.246425 28.623074
22.246425 29.325559
22.246425 29.964182
22.246425 30.666667
22.246425 31.369152
22.310287 32.007775
22.310287 32.646397
22.246425 33.157296
22.246425 33.732056
22.310287 34.370679
22.310287 35.009302
22.310287 35.711787
22.310287 36.414272
22.310287 37.180619
22.310287 37.755380
22.310287 38.521727
22.310287 39.160350
22.310287 39.798973
22.310287 40.437595
22.310287 41.140081
22.310287 41.842566
22.310287 42.545051
22.310287 43.247536
22.310287 43.758434
