# X_um	Y_um
31.518625 1.831764
31.467458 2.394597
31.467458 2.906263
31.518625 3.315596
31.569791 3.673762
31.569791 4.185428
31.569791 4.697094
31.569791 5.362260
31.569791 6.078592
31.569791 6.743758
31.569791 7.460090
31.569791 8.176422
31.569791 8.841588
31.569791 9.609087
31.569791 10.223086
31.569791 10.888252
31.569791 11.604585
31.569791 12.320917
31.620958 12.934916
31.723291 13.651248
31.672124 14.418747
31.672124 15.237413
31.672124 16.004912
31.672124 16.823578
31.723291 17.539910
31.723291 18.307409
31.672124 18.972575
31.672124 19.688907
31.723291 20.302906
31.723291 20.916905
31.723291 21.530905
31.774458 22.042571
31.774458 22.656570
31.774458 23.219402
31.774458 23.935735
31.774458 24.549734
31.774458 25.112567
31.774458 25.675399
31.774458 26.289398
31.774458 26.852231
31.774458 27.466230
31.774458 28.080229
31.774458 28.745395
31.774458 29.308228
31.774458 29.717560
31.825624 30.382726
31.825624 30.945559
31.876791 31.508391
31.876791 32.020057
31.876791 32.634056
31.876791 33.248056
31.876791 33.810888
31.876791 34.373721
31.876791 34.885387
31.876791 35.448219
31.876791 36.062219
31.876791 36.625051
31.876791 37.239050
31.876791 37.801883
31.876791 38.364716
31.927957 38.774048
31.927957 39.336881
31.927957 39.950880
31.927957 40.616046
31.979124 41.127712
31.979124 41.639378
31.979124 42.355710
31.979124 42.918543
31.979124 43.481375
31.979124 43.941875
