# X_um	Y_um
31.774458 2.906263
31.774458 3.469095
31.774458 4.083095
31.774458 4.697094
31.774458 5.004093
31.774458 5.515759
31.774458 6.078592
31.774458 6.641424
31.774458 7.204257
31.774458 7.818256
31.774458 8.381089
31.774458 8.943921
31.825624 9.404421
31.825624 9.916087
31.825624 10.274253
31.876791 10.785919
31.876791 11.348752
31.876791 11.962751
31.876791 12.576750
31.876791 13.190749
31.876791 13.753582
31.876791 14.265248
31.876791 14.879247
31.876791 15.544413
31.876791 16.158412
31.876791 16.874744
31.876791 17.488743
31.876791 18.205076
31.876791 18.767908
31.927957 19.535407
31.979124 19.893573
31.979124 20.456406
31.979124 21.121572
31.979124 21.837904
31.979124 22.503070
31.979124 23.270569
31.979124 23.935735
31.979124 24.652067
32.030291 25.061400
32.030291 25.624233
32.030291 26.289398
32.030291 26.903397
32.081457 27.517397
32.081457 28.233729
32.081457 28.950061
32.030291 29.410561
32.132624 29.819894
32.183790 30.536226
32.132624 31.150225
32.132624 31.764224
32.132624 32.429390
32.132624 33.145722
32.286124 34.015555
32.234957 34.527221
32.234957 34.987720
32.286124 35.652886
32.234957 36.318052
32.337290 37.034384
32.337290 37.699550
32.337290 38.467049
32.337290 39.285714
32.337290 40.053213
32.439623 40.718379
32.439623 41.537045
32.490790 42.355710
32.439623 43.072043
32.490790 43.686042
32.541957 44.146541
32.541957 44.760540
32.541957 45.169873
