# X_um	Y_um
33.671715 4.332378
33.671715 4.921817
33.671715 5.584937
33.745395 6.321736
33.745395 7.058535
33.745395 7.795334
33.819075 8.458453
33.819075 9.268932
33.819075 10.005731
33.819075 10.742530
33.819075 11.626688
33.819075 12.437167
33.892755 13.247646
33.892755 14.058125
33.966435 14.794924
33.966435 15.531723
33.966435 16.194842
33.966435 16.857962
33.966435 17.668440
33.966435 18.405239
33.966435 19.142038
33.966435 19.878837
33.966435 20.615637
33.966435 21.352436
33.892755 22.015555
33.892755 22.826034
33.892755 23.636512
34.113795 24.815391
34.040115 25.478510
34.040115 26.288989
34.113795 27.099468
34.113795 27.762587
34.113795 28.646746
34.113795 29.530905
34.113795 30.562423
34.113795 31.446582
34.187474 32.257061
34.261154 32.993860
34.113795 33.804339
34.113795 34.541138
34.113795 35.277937
34.113795 36.162096
34.113795 36.972575
34.261154 37.709374
34.261154 38.298813
34.334834 38.888252
34.334834 39.698731
34.334834 40.435530
34.334834 41.172329
34.334834 41.761768
34.261154 42.498567
34.261154 43.161686
34.261154 43.898485
34.261154 44.635284
34.261154 45.445763
34.334834 46.108883
34.334834 46.845682
34.408514 47.508801
34.334834 48.245600
34.334834 48.982399
34.482194 49.866558
34.482194 50.603357
34.555874 51.487515
34.555874 52.371674
34.555874 53.182153
34.555874 54.066312
34.555874 54.803111
34.555874 55.466230
34.629554 56.203029
34.629554 56.939828
34.629554 57.676627
34.555874 58.339746
34.703234 59.223905
34.703234 59.960704
34.703234 60.771183
34.703234 61.507982
34.703234 62.318461
34.703234 63.202620
34.703234 63.939419
34.703234 64.676218
34.703234 65.413017
34.776914 66.149816
34.776914 67.033975
34.776914 67.844454
34.850594 68.728612
34.850594 69.539091
34.850594 70.128530
