# X_um	Y_um
33.082276 5.584937
33.082276 6.248056
33.155956 6.911175
33.155956 7.426934
33.082276 8.016373
33.303316 8.532133
33.303316 9.047892
33.229636 10.889889
33.303316 11.479329
33.229636 12.216128
33.229636 12.952927
33.229636 13.395006
33.450675 13.984445
33.376995 14.721244
33.450675 15.384363
33.450675 16.194842
33.450675 16.636922
33.598035 17.300041
33.598035 18.036840
33.598035 18.994679
33.598035 20.026197
33.671715 20.910356
33.892755 21.647155
33.819075 22.457634
33.819075 23.415473
33.745395 24.299632
33.966435 24.741711
33.966435 25.404830
34.040115 26.288989
34.040115 27.246828
34.113795 27.909947
34.113795 28.646746
34.113795 29.383545
34.113795 30.120344
34.113795 30.930823
34.261154 31.446582
34.261154 32.183381
34.261154 32.993860
34.261154 33.878019
34.334834 34.614818
34.261154 35.793696
34.261154 36.383135
34.261154 37.119935
34.408514 37.562014
34.334834 38.225133
34.482194 38.740892
34.555874 39.625051
34.482194 40.509210
34.555874 41.540729
34.555874 42.351208
34.555874 42.940647
34.555874 44.119525
34.629554 44.708964
34.629554 45.593123
34.703234 46.477282
34.776914 47.214081
34.703234 48.024560
34.776914 48.466639
34.850594 49.350798
34.850594 50.161277
34.924273 50.898076
34.924273 51.708555
34.924273 52.666394
34.924273 53.550553
35.071633 54.213672
35.071633 54.950471
35.071633 55.613590
35.071633 56.350389
35.071633 57.013508
35.145313 57.823987
35.218993 58.487106
35.218993 59.371265
35.218993 60.181744
35.218993 61.065903
35.218993 61.729022
35.366353 62.097421
35.366353 62.834220
35.366353 63.571019
35.366353 64.602538
35.366353 65.413017
35.513713 66.149816
35.513713 67.033975
35.513713 68.139173
35.513713 69.465411
35.587393 70.423250
33.303316 10.005731
35.587393 71.528449
