# X_um	Y_um
17.066107 2.181539
17.118297 2.651248
17.066107 3.173148
17.013917 3.642857
17.013917 4.164756
17.013917 4.634466
17.013917 5.260745
17.013917 5.834834
17.013917 6.408923
17.013917 6.983013
17.013917 7.661482
17.013917 8.235571
17.013917 8.809660
16.961727 9.540319
16.961727 10.062219
16.961727 10.584118
16.961727 11.053827
16.961727 11.680106
16.961727 12.306386
16.909537 12.932665
16.909537 13.558944
16.961727 14.237413
16.909537 14.863692
16.909537 15.489971
16.857348 16.011871
16.857348 16.638150
16.857348 17.316619
16.857348 17.995088
16.857348 18.621367
16.805158 19.299836
16.805158 19.978305
16.752968 20.656774
16.805158 21.230864
16.805158 21.961523
16.752968 22.483422
16.752968 23.214081
16.752968 23.996930
16.700778 24.727589
16.700778 25.353868
16.700778 25.980147
16.648588 26.606427
16.700778 27.232706
16.700778 27.858985
16.648588 28.433074
16.648588 29.111543
16.648588 29.790012
16.648588 30.468481
16.700778 31.199140
16.648588 31.825420
16.648588 32.503889
16.648588 33.182358
16.596398 33.704257
16.544208 34.330536
16.544208 34.956815
16.492018 35.635284
16.492018 36.261564
16.492018 36.783463
16.492018 37.357552
16.439828 37.931641
16.492018 38.557921
16.439828 39.288580
16.439828 40.019239
16.439828 40.749898
16.439828 41.219607
16.439828 41.845886
16.387638 42.524355
16.439828 43.202824
16.439828 43.881293
16.439828 44.507573
16.492018 45.238232
16.492018 45.916701
16.439828 46.490790
16.387638 47.325829
16.387638 48.213058
16.439828 49.100287
