# X_um	Y_um
9.440237 2.661686
9.440237 3.122186
9.440237 3.582685
9.486287 3.997135
9.440237 4.365534
9.486287 4.872084
9.578387 5.378633
9.532337 5.839132
9.532337 6.299632
9.532337 6.898281
9.578387 7.404830
9.624437 7.911379
9.624437 8.325829
9.670487 8.648178
9.670487 9.154728
9.670487 9.569177
9.716537 10.075727
9.716537 10.536226
9.716537 10.950675
9.762587 11.457225
9.808637 11.917724
9.808637 12.470323
9.808637 13.437372
9.854687 13.851822
9.808637 14.358371
9.854687 14.726770
9.854687 15.233320
9.854687 15.785919
9.900737 16.338518
9.900737 16.891117
9.900737 17.443717
9.946787 17.996316
9.946787 18.548915
9.946787 19.101515
9.992837 19.562014
9.992837 20.022513
9.992837 20.529063
9.992837 20.989562
10.038887 21.542161
10.038887 22.140810
10.084937 22.647360
10.084937 23.107859
10.084937 23.614409
10.084937 24.074908
10.130986 24.535407
10.130986 24.995907
10.130986 25.456406
10.177036 25.870856
10.177036 26.331355
10.223086 26.837904
10.269136 27.390503
10.223086 27.897053
10.223086 28.449652
10.223086 28.956201
10.223086 29.508801
10.315186 30.061400
10.315186 30.613999
10.315186 31.074499
10.315186 31.627098
10.361236 32.732296
10.407286 33.146746
10.407286 33.607245
10.407286 34.067745
10.407286 34.620344
10.407286 35.172943
10.453336 35.587393
10.499386 36.047892
10.499386 36.600491
10.499386 37.107041
10.499386 37.705690
10.453336 38.488539
10.499386 38.856938
