# X_um	Y_um
21.597421 4.826034
21.597421 5.286533
21.643471 5.793082
21.643471 6.345682
21.643471 6.898281
21.643471 7.404830
21.643471 7.865330
21.643471 8.325829
21.643471 8.786328
21.643471 9.246828
21.597421 9.523127
21.689521 11.319075
21.643471 11.733524
21.643471 12.147974
21.735571 12.516373
21.689521 12.884773
21.689521 13.299222
21.689521 13.713672
21.689521 14.174171
21.689521 14.588621
21.689521 15.049120
21.643471 15.555669
21.597421 16.016169
21.597421 16.522718
21.643471 17.075317
21.597421 17.627916
21.597421 18.180516
21.597421 18.641015
21.597421 19.101515
21.597421 19.562014
21.597421 20.114613
21.597421 20.575113
21.597421 21.035612
21.597421 21.450061
21.597421 21.864511
21.597421 22.278960
21.597421 22.739460
21.597421 23.153909
21.643471 23.568359
21.643471 24.028858
21.643471 24.443307
21.643471 24.949857
21.597421 25.410356
21.597421 25.870856
21.597421 26.377405
21.597421 26.837904
21.597421 27.298404
21.597421 27.804953
21.597421 28.265452
21.597421 28.725952
21.597421 29.232501
21.597421 29.785100
21.597421 30.291650
21.597421 30.890299
21.597421 31.442898
21.597421 31.949447
21.597421 32.409947
21.597421 33.008596
21.597421 33.515145
21.597421 34.113795
21.597421 35.080843
21.597421 35.679492
21.597421 36.186042
21.597421 36.922841
21.597421 37.429390
21.597421 37.889889
21.597421 38.350389
21.597421 39.225338
21.597421 39.777937
21.551371 40.284486
21.597421 40.744986
21.551371 41.113385
