# X_um	Y_um
14.782030 3.536635
14.782030 3.951085
14.874130 4.319484
14.874130 4.779984
14.920180 5.286533
14.920180 5.839132
14.966230 6.391731
15.012280 6.990381
14.966230 7.542980
15.012280 8.141629
15.012280 8.694228
15.058330 9.292878
15.058330 9.845477
15.104380 10.352026
15.150430 10.950675
15.150430 11.457225
15.150430 12.009824
15.196480 12.562423
15.242530 13.068973
15.242530 13.575522
15.242530 14.128121
15.288580 14.772820
15.288580 15.371470
15.334630 15.924069
15.380679 16.476668
15.380679 17.029267
15.380679 17.581867
15.426729 18.180516
15.472779 18.825215
15.518829 19.515964
15.518829 20.068563
15.518829 20.667212
15.564879 21.219812
15.564879 21.726361
15.610929 22.325010
15.610929 22.923659
15.610929 23.522309
15.656979 23.982808
15.703029 24.535407
15.703029 25.041957
15.703029 25.594556
15.749079 26.101105
15.749079 26.607655
15.795129 27.206304
15.749079 27.804953
15.795129 28.357552
15.841179 28.910151
15.841179 29.462751
15.841179 30.015350
15.841179 30.521899
15.887229 30.982399
15.887229 31.442898
15.933279 31.903397
15.933279 32.363897
15.933279 32.962546
15.933279 33.423045
15.933279 33.837495
15.933279 34.344044
15.979329 34.896643
15.979329 35.495293
16.025379 36.001842
16.025379 36.462341
16.025379 36.922841
16.071429 37.475440
16.071429 37.935939
16.117479 38.396439
16.117479 38.949038
16.117479 39.409537
16.117479 39.962137
16.117479 40.514736
16.117479 41.021285
16.163528 41.481785
16.209578 41.942284
16.209578 42.448833
16.209578 42.955383
16.163528 43.323782
16.209578 43.738232
