# X_um	Y_um
21.361032 5.434711
21.433688 6.306590
21.433688 7.251126
21.433688 8.123005
21.433688 8.994883
21.506345 9.794106
21.506345 10.520671
21.506345 11.319894
21.506345 12.191772
21.506345 13.063651
21.651658 13.935530
21.724314 14.807409
21.651658 15.606631
21.651658 16.478510
21.796971 17.277732
21.796971 18.149611
21.796971 18.803520
21.796971 19.675399
21.796971 20.401965
21.869628 21.128530
21.869628 21.927753
21.942284 22.726975
21.942284 23.453541
21.942284 24.252763
21.942284 25.124642
22.014941 25.778551
22.014941 26.577773
22.014941 27.231682
22.087597 27.958248
22.087597 28.757470
22.087597 29.484036
22.160254 30.210602
22.232910 31.082481
22.160254 31.809046
22.160254 32.535612
22.232910 33.189521
22.232910 33.843430
22.305567 34.642652
22.305567 35.441875
22.378223 36.168440
22.378223 37.040319
22.378223 37.766885
22.450880 38.566107
22.378223 39.365330
22.378223 40.091895
22.378223 40.745804
22.450880 41.545027
22.523537 42.344249
22.523537 43.070815
22.523537 43.797380
22.523537 44.451289
22.523537 45.250512
22.523537 45.977077
22.596193 46.776300
22.596193 47.502865
22.596193 48.302088
22.596193 49.028653
22.596193 49.755219
22.596193 50.554441
22.668850 51.281007
22.668850 52.080229
22.668850 52.806795
22.741506 53.606017
22.741506 54.332583
22.741506 54.986492
22.741506 55.713058
22.741506 56.439623
22.814163 57.166189
22.814163 57.965411
22.814163 58.619321
22.886819 59.345886
22.886819 60.217765
22.886819 61.089644
22.886819 62.034179
22.886819 62.906058
22.886819 63.923250
22.886819 64.795129
22.959476 65.667008
22.959476 66.538887
22.959476 67.628735
22.959476 68.936553
22.959476 69.881089
