# X_um	Y_um
22.087597 4.562833
22.087597 5.289398
22.087597 6.015964
22.087597 6.815186
22.087597 7.614409
22.087597 8.268318
22.087597 8.922227
22.087597 9.721449
22.087597 10.520671
22.087597 11.319894
22.087597 12.046459
22.160254 12.773025
22.160254 13.572247
22.160254 14.298813
22.160254 15.098035
22.160254 15.824601
22.160254 16.551167
22.160254 17.423045
22.160254 18.222268
22.160254 19.021490
22.232910 19.820712
22.160254 20.547278
22.232910 21.346500
22.232910 22.073066
22.232910 22.799632
22.232910 23.598854
22.232910 24.252763
22.232910 24.979329
22.232910 25.705894
22.232910 26.214490
22.232910 26.941056
22.232910 27.667622
22.232910 28.466844
22.232910 29.338723
22.232910 30.210602
22.232910 31.082481
22.232910 31.954359
22.232910 32.753582
22.232910 33.625460
22.305567 34.424683
22.305567 35.296562
22.305567 36.023127
22.305567 36.895006
22.305567 37.694228
22.305567 38.493451
22.305567 39.365330
22.305567 40.091895
22.378223 40.891117
22.378223 41.690340
22.378223 42.562219
22.378223 43.434097
22.378223 44.233320
22.378223 45.105199
22.378223 45.904421
22.378223 46.776300
22.378223 47.720835
22.378223 48.592714
22.378223 49.319280
22.450880 50.191158
22.450880 51.063037
22.450880 51.789603
22.450880 52.734138
22.450880 53.606017
22.450880 54.477896
22.523537 55.277118
22.523537 56.148997
22.523537 57.020876
22.523537 57.892755
22.523537 58.764634
22.450880 59.636512
22.523537 60.581048
22.523537 61.380270
22.523537 62.179492
22.523537 62.978715
22.523537 63.705280
22.523537 64.431846
22.596193 65.231068
22.596193 66.030291
22.596193 66.829513
22.596193 68.137331
22.596193 68.936553
22.596193 69.663119
