X D
0.0000000000 0.0244295599
0.6631190000 -0.0037226640
1.3262380000 0.0418051120
1.8419970000 0.0199089473
2.4314360000 -0.0787952470
2.9471960000 0.1203485458
3.4629550000 0.0984523811
5.3049520000 -0.0534282315
5.8943920000 -0.0047724683
6.6311910000 -0.1097327218
7.3679900000 -0.1410129754
7.8100690000 -0.1597811105
8.3995080000 0.0362336952
9.1363070000 -0.0687265583
9.7994260000 -0.0231987823
10.6099050000 -0.0576070654
11.0519850000 -0.0763752430
11.7151040000 0.0428325331
12.4519030000 0.0115522796
13.4097420000 -0.0291120628
14.4412600000 -0.0729043922
15.3254190000 -0.0367607049
16.0622180000 0.1529990415
16.8726970000 0.0449107584
17.8305360000 0.0042464161
18.7146950000 -0.1069698966
19.1567740000 0.0953019682
19.8198930000 0.0671497443
20.7040520000 0.1032934316
21.6618910000 0.0626290893
22.3250100000 0.1081568653
23.0618090000 0.0768766118
23.7986080000 0.0455963583
24.5354070000 0.0143161048
25.3458860000 -0.0200921784
25.8616450000 0.1053706569
26.5984440000 0.0740904034
27.4089230000 0.0396821202
28.2930820000 0.0021458075
29.0298810000 0.0445455540
30.2087590000 -0.0791828347
30.7981980000 -0.1042070290
31.5349980000 -0.1354873250
31.9770770000 -0.0068954601
32.6401960000 -0.1087276840
33.1559550000 0.0167361512
34.0401140000 0.0528798385
34.9242730000 -0.0583364742
35.9557920000 -0.0284488461
36.7662710000 -0.0628571293
37.3557100000 -0.0878813236
38.5345880000 -0.1379297122
39.1240270000 -0.0892739066
40.0081860000 -0.1268102193
40.8923450000 -0.0906665320
41.6291440000 -0.0482667855
42.4396230000 -0.1563550687
42.8817020000 -0.1014432038
43.7658610000 -0.0652995165
44.5763400000 -0.0997077996
45.3131390000 -0.0573090532
46.1236180000 -0.0917173363
47.0814570000 -0.1323816786
47.9656160000 -0.1699179913
48.6287350000 -0.0507102153
49.3655340000 -0.0819904688
50.0286530000 -0.1101426927
50.7654520000 -0.1414229462
51.4285710000 -0.1695751702
52.2390500000 -0.1303034533
52.9021690000 -0.0847756772
53.7863280000 -0.1223119899
54.5968070000 -0.1567202731
55.4809660000 -0.1942565858
56.1440850000 -0.2224088097
56.5124840000 -0.0906889153
57.2492830000 -0.1219691688
57.9860820000 -0.1532494223
59.0176010000 -0.1970417942
59.8280800000 -0.2314500773
60.5648790000 -0.1153703309
61.4490380000 -0.1529066436
62.5542360000 -0.1998270027
63.8804740000 -0.2561314505
64.8383130000 -0.2231157928
4.4207940000 0.0577880387
65.9435120000 -0.2700361943
