s_(um) X_pre Y_pre X_post Y_post D_normal
0.0000000000 0.0000000000 0.0505209025 -0.0110030423 0.0758012663 0.0241955550
0.2118032776 0.2109553056 0.0315871381 0.2008002353 0.0758012663 0.0431293194
0.4236065552 0.4219106112 0.0126533738 0.4126035129 0.0758012663 0.0622801612
0.6354098328 0.6331471456 0.0000806451 0.6244067905 0.0758012663 0.0754338494
0.8472131104 0.8449502837 0.0003237695 0.8362100681 0.0758012663 0.0754874797
1.0590163880 1.0567534217 0.0005668939 1.0480133457 0.0758012663 0.0756149077
1.2708196656 1.2670308285 0.0248711531 1.2598166233 0.0758012663 0.0514277905
1.4826229432 1.4771682168 0.0513835356 1.4716199009 0.0758012663 0.0249400774
1.6944262208 1.6868240587 0.0814606481 1.6834231785 0.0758012663 -0.0051938651
1.9062294984 1.8970267318 0.1038644935 1.8952264561 0.0758012663 -0.0279264311
2.1180327760 2.1088298698 0.1041076179 2.1070297337 0.0758012663 -0.0283042667
2.3298360536 2.3206330079 0.1043507423 2.3188330113 0.0758012663 -0.0285473911
2.5416393312 2.5324361460 0.1045938667 2.5306362889 0.0758012663 -0.0287905155
2.7534426088 2.7442392840 0.1048369911 2.7424395665 0.0758012663 -0.0290336399
2.9652458864 2.9560424221 0.1050801155 2.9542428441 0.0758012663 -0.0292767643
3.1770491640 3.1678455601 0.1053232399 3.1660461217 0.0758012663 -0.0295198887
3.3888524416 3.3796486982 0.1055663643 3.3778493993 0.0758012663 -0.0297630131
3.6006557192 3.5914518363 0.1058094887 3.5896526769 0.0758012663 -0.0300061375
3.8124589968 3.8032549743 0.1060526131 3.8014559545 0.0758012663 -0.0302492619
4.0242622744 4.0150581124 0.1062957375 4.0132592321 0.0758012663 -0.0304923863
4.2360655520 4.2268612504 0.1065388619 4.2250625097 0.0758012663 -0.0307355107
4.4478688296 4.4386643885 0.1067819863 4.4368657873 0.0758012663 -0.0309786351
4.6596721072 4.6504675266 0.1070251107 4.6486690649 0.0758012663 -0.0312217595
4.8714753848 4.8622706646 0.1072682351 4.8604723425 0.0758012663 -0.0314648839
5.0832786624 5.0740738027 0.1075113595 5.0722756201 0.0758012663 -0.0317080083
5.2950819400 5.2858769407 0.1077544839 5.2840788977 0.0758012663 -0.0319511327
5.5068852176 5.4976800788 0.1079976083 5.4958821753 0.0758012663 -0.0321942571
5.7186884952 5.7094832169 0.1082407327 5.7076854529 0.0758012663 -0.0324373815
5.9304917728 5.9212863549 0.1084838571 5.9194887305 0.0758012663 -0.0326805059
6.1422950504 6.1330894930 0.1087269815 6.1306520366 0.0873563467 -0.0213678228
6.3540983280 6.3448926310 0.1089701059 6.3411599026 0.1107458048 0.0017799825
6.5659016056 6.5566957691 0.1092132303 6.5520647640 0.1269672663 0.0177593401
6.7777048832 6.7684989072 0.1094563547 6.7638680416 0.1269672663 0.0175162157
6.9895081607 6.9803020452 0.1096994791 6.9756713192 0.1269672663 0.0172730913
7.2013114383 7.1921051833 0.1099426035 7.1874745968 0.1269672663 0.0170299669
7.4131147159 7.4039083213 0.1101857279 7.3990679893 0.1311754023 0.0209952167
7.6249179935 7.6157114594 0.1104288523 7.6098201112 0.1522507793 0.0418286620
7.8367212711 7.8275145975 0.1106719767 7.8205722331 0.1733261562 0.0626621072
8.0485245487 8.0393177355 0.1109151011 8.0321357014 0.1781342663 0.0672273650
8.2603278263 8.2511208736 0.1111582255 8.2439389790 0.1781342663 0.0669842406
8.4721311039 8.4629240116 0.1114013499 8.4557422566 0.1781342663 0.0667411162
8.6839343815 8.6747271497 0.1116444743 8.6675455342 0.1781342663 0.0664979918
8.8957376591 8.8865302878 0.1118875987 8.8793488118 0.1781342663 0.0662548674
9.1075409367 9.0983334258 0.1121307231 9.0911520894 0.1781342663 0.0660117430
9.3193442143 9.3101365639 0.1123738475 9.3029553670 0.1781342663 0.0657686186
9.5311474919 9.5219397019 0.1126169719 9.5147586446 0.1781342663 0.0655254942
9.7429507695 9.7337428400 0.1128600963 9.7265619222 0.1781342663 0.0652823698
9.9547540471 9.9455459781 0.1131032207 9.9383651998 0.1781342663 0.0650392454
10.1665573247 10.1573491161 0.1133463451 10.1501684774 0.1781342663 0.0647961210
10.3783606023 10.3691522542 0.1135894695 10.3619717550 0.1781342663 0.0646705777
10.5901638799 10.5806292952 0.1214615164 10.5737750326 0.1781342663 0.0569843737
10.8019671575 10.7916806116 0.1392932364 10.7855783102 0.1781342663 0.0392168861
11.0137704351 11.0027319280 0.1571249565 10.9973815878 0.1781342663 0.0214375358
11.2255737127 11.2130426273 0.1814442506 11.2091848654 0.1781342663 -0.0027858386
11.4373769903 11.4226826595 0.2116383776 11.4209881430 0.1781342663 -0.0329203523
11.6491802679 11.6323226917 0.2418325045 11.6327914206 0.1781342663 -0.0632072484
11.8609835455 11.8421480764 0.2672533750 11.8445946982 0.1781342663 -0.0891526864
12.0727868231 12.0534982692 0.2534069161 12.0563979758 0.1781342663 -0.0749220624
12.2845901007 12.2648484619 0.2395604572 12.2682012534 0.1781342663 -0.0610756035
12.4963933783 12.4761986547 0.2257139983 12.4800045310 0.1781342663 -0.0473327763
12.7081966559 12.6877647658 0.2185840238 12.6918078086 0.1781342663 -0.0403786484
12.9199999335 12.8995679039 0.2188271482 12.9036110862 0.1781342663 -0.0406974962
13.1318032111 13.1113710419 0.2190702726 13.1154143638 0.1781342663 -0.0409406206
13.3436064887 13.3231741800 0.2193133970 13.3272176414 0.1781342663 -0.0411837450
