x_pre x_post y_pre y_post x_pre_image y_pre_image x_post_image y_post_image
1.4305247358 1.4177430000 21.9109757318 21.8632510000 21.9109757318 1.4305247358 21.8632510000 1.4177430000
2.0049798797 1.9925030000 21.9296932435 21.8632510000 21.9296932435 2.0049798797 21.8632510000 1.9925030000
2.4517787692 2.5034010000 21.9442513226 21.9271140000 21.9442513226 2.4517787692 21.9271140000 2.5034010000
3.0900630397 3.1420240000 21.9650485832 21.9271140000 21.9650485832 3.0900630397 21.9271140000 3.1420240000
3.7283473103 3.7167850000 21.9858458437 21.9271140000 21.9858458437 3.7283473103 21.9271140000 3.7167850000
4.3687103303 4.3554070000 21.9428139450 21.9271140000 21.9428139450 4.3687103303 21.9271140000 4.3554070000
4.9410867248 4.9301680000 22.0253606160 21.9909760000 22.0253606160 4.9410867248 21.9909760000 4.9301680000
5.5197013339 5.5049290000 21.9164208738 21.9909760000 21.9164208738 5.5197013339 21.9909760000 5.5049290000
6.1579856045 6.0158270000 21.9372181343 21.9909760000 21.9372181343 6.1579856045 21.9909760000 6.0158270000
6.7303620315 6.6544500000 22.0197638058 21.9909760000 22.0197638058 6.7303620315 21.9909760000 6.6544500000
7.3707260184 7.3569350000 21.9767329391 21.9909760000 21.9767329391 7.3707260184 21.9909760000 7.3569350000
8.0090092895 8.1232820000 21.9975301671 21.9909760000 21.9975301671 8.0090092895 21.9909760000 8.1232820000
8.6472935601 8.7619050000 22.0183274277 22.0548380000 22.0183274277 8.6472935601 22.0548380000 8.7619050000
9.2855778307 9.3366650000 22.0391246882 21.9909760000 22.0391246882 9.2855778307 21.9909760000 9.3366650000
9.6619570156 9.9114260000 22.0577776662 21.9909760000 22.0640813814 10.0515183557 21.9909760000 9.9114260000
10.0515183557 10.5500490000 22.0640813814 22.0548380000 22.0272896961 10.8833677237 22.0548380000 10.5500490000
10.4299782563 11.2525340000 22.0189062647 22.0548380000 21.9884172626 11.6513879976 22.0548380000 11.2525340000
10.8833677237 11.8911560000 22.0272896961 22.0548380000 22.0092145231 12.2896722682 22.0548380000 11.8911560000
11.1959187814 12.5936420000 22.0438629578 22.0548380000 22.0938409104 12.9258767900 22.0548380000 12.5936420000
11.6513879976 13.1684020000 21.9884172626 22.0548380000 22.1167178872 13.6279891878 22.0548380000 13.1684020000
