x_pre x_post y_pre y_post x_pre_image y_pre_image x_post_image y_post_image
2.9172660423 2.9062630000 31.7491776362 31.7744580000 31.7491776362 2.9172660423 31.7744580000 2.9062630000
3.4801574050 3.4690950000 31.6986567337 31.7744580000 31.6986567337 3.4801574050 31.7744580000 3.4690950000
3.9918230679 4.0830950000 31.6992440641 31.7744580000 31.6992440641 3.9918230679 31.7744580000 4.0830950000
4.4010970647 4.6970940000 31.7508808949 31.7744580000 31.7508808949 4.4010970647 31.7744580000 4.6970940000
4.7592040964 5.0040930000 31.8024579921 31.7744580000 31.8024579921 4.7592040964 31.7744580000 5.0040930000
5.2708697593 5.5157590000 31.8030453225 31.7744580000 31.8030453225 5.2708697593 31.7744580000 5.5157590000
5.7825354222 6.0785920000 31.8036326528 31.7744580000 31.8036326528 5.7825354222 31.7744580000 6.0785920000
6.4477009840 6.6414240000 31.8043961825 31.7744580000 31.8043961825 6.4477009840 31.7744580000 6.6414240000
7.1640325121 7.2042570000 31.8052184445 31.7744580000 31.8052184445 7.1640325121 31.7744580000 7.2042570000
7.8291980739 7.8182560000 31.8059819741 31.7744580000 31.8059819741 7.8291980739 31.7744580000 7.8182560000
8.5455296019 8.3810890000 31.8068042361 31.7744580000 31.8068042361 8.5455296019 31.7744580000 8.3810890000
9.2618611300 8.9439210000 31.8076264981 31.7744580000 31.8076264981 9.2618611300 31.7744580000 8.9439210000
9.9270266918 9.4044210000 31.8083900278 31.8256240000 31.8083900278 9.9270266918 31.8256240000 9.4044210000
10.6945251862 9.9160870000 31.8092710233 31.8256240000 31.8092710233 10.6945251862 31.8256240000 9.9160870000
11.3085237817 10.2742530000 31.8099758194 31.8256240000 31.8099758194 11.3085237817 31.8256240000 10.2742530000
11.9736893434 10.7859190000 31.8107393491 31.8767910000 31.8107393491 11.9736893434 31.8767910000 10.7859190000
12.6900218715 11.3487520000 31.8115616122 31.8767910000 31.8115616122 12.6900218715 31.8767910000 11.3487520000
13.4063533996 11.9627510000 31.8123838742 31.8767910000 31.8123838742 13.4063533996 31.8767910000 11.9627510000
14.0202932616 12.5767500000 31.8642556367 31.8767910000 31.8642556367 14.0202932616 31.8767910000 12.5767500000
14.7365073238 13.1907490000 31.9674108313 31.8767910000 31.9674108313 14.7365073238 31.8767910000 13.1907490000
15.5040645517 13.7535820000 31.9171248605 31.8767910000 31.9171248605 15.5040645517 31.8767910000 13.7535820000
16.3227300123 14.2652480000 31.9180645895 31.8767910000 31.9180645895 16.3227300123 31.8767910000 14.2652480000
17.0902285067 14.8792470000 31.9189455849 31.8767910000 31.9189455849 17.0902285067 31.8767910000 14.8792470000
17.9088939673 15.5444130000 31.9198853139 31.8767910000 31.9198853139 17.9088939673 31.8767910000 15.5444130000
