x_pre x_post y_pre y_post x_pre_image y_pre_image x_post_image y_post_image
5.4679520837 5.5849370000 32.9917574717 33.0822760000 32.9917574717 5.4679520837 33.0822760000 5.5849370000
6.0571540942 6.2480560000 33.0084705087 33.0822760000 33.0084705087 6.0571540942 33.0822760000 6.2480560000
6.7200074805 6.9111750000 33.0272727073 33.1559560000 33.0272727073 6.7200074805 33.1559560000 6.9111750000
7.4544211103 7.4269340000 33.1218143869 33.1559560000 33.1218143869 7.4544211103 33.1559560000 7.4269340000
8.1909238732 8.0163730000 33.1427056903 33.0822760000 33.1427056903 8.1909238732 33.0822760000 8.0163730000
8.9274266362 8.5321330000 33.1635969937 33.3033160000 33.1635969937 8.9274266362 33.3033160000 8.5321330000
9.5881898897 9.0478920000 33.2560495402 33.3033160000 33.2560495402 9.5881898897 33.3033160000 9.0478920000
10.3983430289 10.0057310000 33.2790299768 33.3033160000 33.2790299768 10.3983430289 33.2296360000 10.8898890000
11.1348457919 10.8898890000 33.2999212802 33.2296360000 33.2999212802 11.1348457919 33.3033160000 11.4793290000
11.8713485548 11.4793290000 33.3208125835 33.3033160000 33.3208125835 11.8713485548 33.2296360000 12.2161280000
12.7551510707 12.2161280000 33.3458821249 33.2296360000 33.3458821249 12.7551510707 33.2296360000 12.9529270000
13.5653042099 12.9529270000 33.3688625615 33.2296360000 33.3688625615 13.5653042099 33.2296360000 13.3950060000
14.3733682160 13.3950060000 33.4654933743 33.2296360000 33.4654933743 14.3733682160 33.4506750000 13.9844450000
15.1835213552 13.9844450000 33.4884738109 33.4506750000 33.4884738109 15.1835213552 33.3769950000 14.7212440000
15.9179349849 14.7212440000 33.5830154905 33.3769950000 33.5830154905 15.9179349849 33.4506750000 15.3843630000
16.6544377479 15.3843630000 33.6039067939 33.4506750000 33.6039067939 16.6544377479 33.4506750000 16.1948420000
17.3172901346 16.1948420000 33.6227089641 33.4506750000 33.6227089641 17.3172901346 33.4506750000 16.6369220000
17.9801435209 16.6369220000 33.6415111627 33.4506750000 33.6415111627 17.9801435209 33.5980350000 17.3000410000
18.7902956605 17.3000410000 33.6644915709 33.5980350000 33.6644915709 18.7902956605 33.5980350000 18.0368400000
19.5267984235 18.0368400000 33.6853828743 33.5980350000 33.6853828743 19.5267984235 33.5980350000 18.9946790000
20.2633011864 18.9946790000 33.7062741777 33.5980350000 33.7062741777 20.2633011864 33.5980350000 20.0261970000
20.9998039494 20.0261970000 33.7271654811 33.5980350000 33.7271654811 20.9998039494 33.6717150000 20.9103560000
21.7363077119 20.9103560000 33.7480568128 33.6717150000 33.7480568128 21.7363077119 33.8927550000 21.6471550000
22.4728104749 21.6471550000 33.7689481162 33.8927550000 33.7689481162 22.4728104749 33.8190750000 22.4576340000
23.1377519948 22.4576340000 33.7140999102 33.8190750000 33.7140999102 23.1377519948 33.8190750000 23.4154730000
23.9479051340 23.4154730000 33.7370803467 33.8190750000 33.7370803467 23.9479051340 33.7453950000 24.2996320000
24.7580572736 24.2996320000 33.7600607549 33.7453950000 33.7600607549 24.7580572736 33.9664350000 24.7417110000
25.9301948946 24.7417110000 34.0144379861 33.9664350000 34.0144379861 25.9301948946 33.9664350000 25.4048300000
26.5951364145 25.4048300000 33.9595897801 33.9664350000 33.9595897801 26.5951364145 34.0401150000 26.2889890000
