x_pre x_post y_pre y_post x_pre_image y_pre_image x_post_image y_post_image
2.1882047245 2.1815390000 17.0616944820 17.0661070000 17.0616944820 2.1882047245 17.0661070000 2.1815390000
2.8815632812 2.6512480000 17.0869019976 17.1182970000 17.0869019976 2.8815632812 17.1182970000 2.6512480000
3.5196004168 3.1731480000 17.0610909524 17.0661070000 17.0610909524 3.5196004168 17.0661070000 3.1731480000
4.1023171306 3.6428570000 16.9842613061 17.0139170000 16.9842613061 4.1023171306 17.0139170000 3.6428570000
4.7956746880 4.1647560000 17.0094688622 17.0139170000 17.0094688622 4.7956746880 17.0139170000 4.1647560000
5.4890322455 4.6344660000 17.0346764182 17.0139170000 17.0346764182 5.4890322455 17.0139170000 4.6344660000
6.1270703803 5.2607450000 17.0088653326 17.0139170000 17.0088653326 6.1270703803 17.0139170000 5.2607450000
6.5545794214 5.8348340000 17.0448284799 17.0139170000 17.0448284799 6.5545794214 17.0139170000 5.8348340000
7.3499751400 6.4089230000 16.9593941526 17.0139170000 16.9593941526 7.3499751400 17.0139170000 6.4089230000
7.9348427641 6.9830130000 16.9357340178 17.0139170000 16.9357340178 7.9348427641 17.0139170000 6.9830130000
8.5750308505 7.6614820000 16.9630934834 17.0139170000 16.9630934834 8.5750308505 17.0139170000 7.6614820000
9.1620493849 8.2355710000 16.9926028600 17.0139170000 16.9926028600 9.1620493849 17.0139170000 8.2355710000
9.7469160098 8.8096600000 16.9689427656 17.0139170000 16.9689427656 9.7469160098 17.0139170000 8.8096600000
10.3339345443 9.5403190000 16.9984521423 16.9617270000 16.9984521423 10.3339345443 16.9617270000 9.5403190000
10.9188021684 10.0622190000 16.9747920075 16.9617270000 16.9747920075 10.9188021684 16.9617270000 10.0622190000
11.4505002810 10.5841180000 16.9532827830 16.9617270000 16.9532827830 11.4505002810 16.9617270000 10.5841180000
12.0906883269 11.0538270000 16.9806412493 16.9617270000 16.9806412493 12.0906883269 16.9617270000 11.0538270000
12.7818949741 11.6801060000 16.9526792939 16.9617270000 16.9526792939 12.7818949741 16.9617270000 11.6801060000
13.4199331089 12.3063860000 16.9268682083 16.9617270000 16.9268682083 13.4199331089 16.9617270000 12.3063860000
14.0601211952 12.9326650000 16.9542276738 16.9095370000 16.9542276738 14.0601211952 16.9095370000 12.9326650000
