x_pre x_post y_pre y_post x_pre_image y_pre_image x_post_image y_post_image
2.6588856860 2.6616860000 9.3941308600 9.4402370000 9.3941308600 2.6588856860 9.4402370000 2.6616860000
3.1191271821 3.1221860000 9.4095287251 9.4402370000 9.4095287251 3.1191271821 9.4402370000 3.1221860000
3.6238531379 3.5826850000 9.4724906295 9.4402370000 9.4724906295 3.6238531379 9.4402370000 3.5826850000
4.1761441326 3.9971350000 9.4909681077 9.4862870000 9.4909681077 4.1761441326 9.4862870000 3.9971350000
4.7284341278 4.3655340000 9.5094455524 9.4402370000 9.5094455524 4.7284341278 9.4402370000 4.3655340000
5.2346998735 4.8720840000 9.5263832073 9.4862870000 9.5263832073 5.2346998735 9.4862870000 4.8720840000
5.6949423691 5.3786330000 9.5417811058 9.5783870000 9.5417811058 5.6949423691 9.5783870000 5.3786330000
6.1551838652 5.8391320000 9.5571789708 9.5323370000 9.5571789708 6.1551838652 9.5323370000 5.8391320000
6.6154253613 6.2996320000 9.5725768359 9.5323370000 9.5725768359 6.6154253613 9.5323370000 6.2996320000
7.0756678569 6.8982810000 9.5879747343 9.5323370000 9.5879747343 7.0756678569 9.5323370000 6.8982810000
7.3533521446 7.4048300000 9.5511891904 9.5783870000 9.5511891904 7.3533521446 9.5783870000 7.4048300000
9.1452162987 7.9113790000 9.7032894267 9.6244370000 9.7032894267 9.1452162987 9.6244370000 7.9113790000
9.5609733352 8.3258290000 9.6711232524 9.6244370000 9.6711232524 9.5609733352 9.6244370000 8.3258290000
9.9751915812 8.6481780000 9.6849813610 9.6704870000 9.6849813610 9.9751915812 9.6704870000 8.6481780000
10.3403049985 9.1547280000 9.7893481455 9.6704870000 9.7893481455 10.3403049985 9.6704870000 9.1547280000
10.7100387848 9.5691770000 9.7556422147 9.6704870000 9.7556422147 10.7100387848 9.6704870000 9.5691770000
11.1242560313 10.0757270000 9.7695002899 9.7165370000 9.7695002899 11.1242560313 9.7165370000 10.0757270000
11.5384742773 10.5362260000 9.7833583985 9.7165370000 9.7833583985 11.5384742773 9.7165370000 10.5362260000
11.9987157735 10.9506750000 9.7987562636 9.7165370000 9.7987562636 11.9987157735 9.7165370000 10.9506750000
12.4129340195 11.4572250000 9.8126143722 9.7625870000 9.8126143722 12.4129340195 9.7625870000 11.4572250000
12.8731755156 11.9177240000 9.8280122372 9.8086370000 9.8280122372 12.8731755156 9.8086370000 11.9177240000
