x_pre x_post y_pre y_post x_pre_image y_pre_image x_post_image y_post_image
3.5222597692 3.5366350000 14.8275275286 14.7820300000 14.8275275286 3.5222597692 14.7820300000 3.5366350000
3.9823010424 3.9510850000 14.8480544851 14.7820300000 14.8480544851 3.9823010424 14.7820300000 3.9510850000
4.3963380884 4.3194840000 14.8665287414 14.8741300000 14.8665287414 4.3963380884 14.8741300000 4.3194840000
4.8103761334 4.7799840000 14.8850030424 14.8741300000 14.8850030424 4.8103761334 14.8741300000 4.7799840000
5.2724701067 5.2865330000 14.8595257716 14.9201800000 14.8595257716 5.2724701067 14.9201800000 5.2865330000
5.7325123789 5.8391320000 14.8800527727 14.9201800000 14.8800527727 5.7325123789 14.9201800000 5.8391320000
6.2385578794 6.3917310000 14.9026324293 14.9662300000 14.9026324293 6.2385578794 14.9662300000 6.3917310000
6.6985991526 6.9903810000 14.9231593857 15.0122800000 14.9231593857 6.6985991526 15.0122800000 6.9903810000
7.2506498792 7.5429800000 14.9477917870 14.9662300000 14.9477917870 7.2506498792 14.9662300000 7.5429800000
7.8026996069 8.1416290000 14.9724241437 15.0122800000 14.9724241437 7.8026996069 15.0122800000 8.1416290000
8.3087451073 8.6942280000 14.9950038003 15.0122800000 14.9950038003 8.3087451073 15.0122800000 8.6942280000
8.7687873795 9.2928780000 15.0155308013 15.0583300000 15.0155308013 8.7687873795 15.0583300000 9.2928780000
9.2267759526 9.8454770000 15.0820619850 15.0583300000 15.0820619850 9.2267759526 15.0583300000 9.8454770000
9.6868172259 10.3520260000 15.1025889415 15.1043800000 15.1025889415 9.6868172259 15.1043800000 10.3520260000
10.2388679525 10.9506750000 15.1272213428 15.1504300000 15.1272213428 10.2388679525 15.1504300000 10.9506750000
10.7909176802 11.4572250000 15.1518536995 15.1504300000 15.1518536995 10.7909176802 15.1504300000 11.4572250000
11.2969631806 12.0098240000 15.1744333560 15.1504300000 15.1744333560 11.2969631806 15.1504300000 12.0098240000
11.7570054528 12.5624230000 15.1949603571 15.1964800000 15.1949603571 11.7570054528 15.1964800000 12.5624230000
12.2170467260 13.0689730000 15.2154873136 15.2425300000 15.2154873136 12.2170467260 15.2425300000 13.0689730000
12.7230922265 13.5755220000 15.2380669701 15.2425300000 15.2380669701 12.7230922265 15.2425300000 13.5755220000
13.2291387259 14.1281210000 15.2606466713 15.2425300000 15.2606466713 13.2291387259 15.2425300000 14.1281210000
13.7372369265 14.7728200000 15.2372221007 15.2885800000 15.2372221007 13.7372369265 15.2885800000 14.7728200000
14.2432824269 15.3714700000 15.2598017572 15.2885800000 15.2598017572 14.2432824269 15.2885800000 15.3714700000
14.7012719990 15.9240690000 15.3263329855 15.3346300000 15.3263329855 14.7012719990 15.3346300000 15.9240690000
15.1633659723 16.4766680000 15.3008557148 15.3806790000 15.3008557148 15.1633659723 15.3806790000 16.4766680000
15.6234072455 17.0292670000 15.3213826712 15.3806790000 15.3213826712 15.6234072455 15.3806790000 17.0292670000
16.1754579722 17.5818670000 15.3460150725 15.3806790000 15.3460150725 16.1754579722 15.3806790000 17.5818670000
16.6815034726 18.1805160000 15.3685947291 15.4267290000 15.3685947291 16.6815034726 15.4267290000 18.1805160000
17.1875489731 18.8252150000 15.3911743857 15.4727790000 15.3911743857 17.1875489731 15.4727790000 18.8252150000
17.7395996997 19.5159640000 15.4158067869 15.5188290000 15.4158067869 17.7395996997 15.5188290000 19.5159640000
18.2916494274 20.0685630000 15.4404391436 15.5188290000 15.4404391436 18.2916494274 15.5188290000 20.0685630000
18.8436991550 20.6672120000 15.4650715003 15.5188290000 15.4650715003 18.8436991550 15.5188290000 20.6672120000
19.2577372000 21.2198120000 15.4835458013 15.5648790000 15.4835458013 19.2577372000 15.5648790000 21.2198120000
19.8097869277 21.7263610000 15.5081781579 15.5648790000 15.5081781579 19.8097869277 15.5648790000 21.7263610000
20.3178851282 22.3250100000 15.4847535873 15.6109290000 15.4847535873 20.3178851282 15.6109290000 22.3250100000
20.8239306287 22.9236590000 15.5073332439 15.6109290000 15.5073332439 20.8239306287 15.6109290000 22.9236590000
21.3299771281 23.5223090000 15.5299129450 15.6109290000 15.5299129450 21.3299771281 15.6109290000 23.5223090000
21.7900184013 23.9828080000 15.5504399015 15.6569790000 15.5504399015 21.7900184013 15.6569790000 23.9828080000
22.2960639018 24.5354070000 15.5730195581 15.7030290000 15.5730195581 22.2960639018 15.7030290000 24.5354070000
22.8021104012 25.0419570000 15.5955992593 15.7030290000 15.5955992593 22.8021104012 15.7030290000 25.0419570000
23.1701432200 25.5945560000 15.6120208155 15.7030290000 15.6120208155 23.1701432200 15.7030290000 25.5945560000
23.7221939466 26.1011050000 15.6366532168 15.7490790000 15.6366532168 23.7221939466 15.7490790000 26.1011050000
24.2742436743 26.6076550000 15.6612855735 15.7490790000 15.6612855735 24.2742436743 15.7490790000 26.6076550000
24.7802891747 27.2063040000 15.6838652301 15.7951290000 15.6838652301 24.7802891747 15.7951290000 27.2063040000
25.2403314469 27.8049530000 15.7043922311 15.7490790000 15.7043922311 25.2403314469 15.7490790000 27.8049530000
25.7463769474 28.3575520000 15.7269718877 15.7951290000 15.7269718877 25.7463769474 15.7951290000 28.3575520000
26.3444309022 28.9101510000 15.7536569445 15.8411790000 15.7536569445 26.3444309022 15.8411790000 28.9101510000
26.9424848571 29.4627510000 15.7803420013 15.8411790000 15.7803420013 26.9424848571 15.8411790000 29.4627510000
27.4965882839 30.0153500000 15.7589701753 15.8411790000 15.7589701753 27.4965882839 15.8411790000 30.0153500000
28.0465853114 30.5218990000 15.8296067592 15.8411790000 15.8296067592 28.0465853114 15.8411790000 30.5218990000
