x_pre x_post y_pre y_post x_pre_image y_pre_image x_post_image y_post_image
5.4153120811 5.4347110000 21.3637388621 21.3610320000 21.3637388621 5.4153120811 21.3610320000 5.4347110000
6.1416510636 6.3065900000 21.3818601675 21.4336880000 21.3818601675 6.1416510636 21.4336880000 6.3065900000
6.8679910458 7.2511260000 21.3999814979 21.4336880000 21.3999814979 6.8679910458 21.4336880000 7.2511260000
7.6669644264 8.1230050000 21.4199149463 21.4336880000 21.4199149463 7.6669644264 21.4336880000 8.1230050000
8.4659388067 8.9948830000 21.4398484197 21.4336880000 21.4398484197 8.4659388067 21.4336880000 8.9948830000
9.1196443908 9.7941060000 21.4561576070 21.5063450000 21.4561576070 9.1196443908 21.5063450000 9.7941060000
9.7733499749 10.5206710000 21.4724667944 21.5063450000 21.4724667944 9.7733499749 21.5063450000 10.5206710000
10.5723233556 11.3198940000 21.4924002428 21.5063450000 21.4924002428 10.5723233556 21.5063450000 11.3198940000
11.3712967362 12.1917720000 21.5123336912 21.5063450000 21.5123336912 11.3712967362 21.5063450000 12.1917720000
12.1702711165 13.0636510000 21.5322671646 21.5063450000 21.5322671646 12.1702711165 21.5063450000 13.0636510000
12.8966100990 13.9355300000 21.5503884700 21.6516580000 21.5503884700 12.8966100990 21.6516580000 13.9355300000
13.6211379382 14.8074090000 21.6411441984 21.7243140000 21.6411441984 13.6211379382 21.7243140000 14.8074090000
14.4201113188 15.6066310000 21.6610776469 21.6516580000 21.6610776469 14.4201113188 21.6516580000 15.6066310000
15.1464513010 16.4785100000 21.6791989772 21.6516580000 21.6791989772 15.1464513010 21.6516580000 16.4785100000
15.9454246816 17.2777320000 21.6991324256 21.7969710000 21.6991324256 15.9454246816 21.7969710000 17.2777320000
16.6717646638 18.1496110000 21.7172537560 21.7969710000 21.7172537560 16.6717646638 21.7969710000 18.1496110000
17.3981046460 18.8035200000 21.7353750863 21.7969710000 21.7353750863 17.3981046460 21.7969710000 18.8035200000
18.2697114250 19.6753990000 21.7571206528 21.7969710000 21.7571206528 18.2697114250 21.7969710000 19.6753990000
19.0686858053 20.4019650000 21.7770541262 21.7969710000 21.7770541262 19.0686858053 21.7969710000 20.4019650000
19.8676591859 21.1285300000 21.7969875746 21.8696280000 21.7969875746 19.8676591859 21.8696280000 21.1285300000
20.6648204484 21.9277530000 21.8895544215 21.8696280000 21.8895544215 20.6648204484 21.8696280000 21.9277530000
21.3929725487 22.7269750000 21.8350423534 21.9422840000 21.8350423534 21.3929725487 21.9422840000 22.7269750000
22.1901338112 23.4535410000 21.9276092002 21.9422840000 21.9276092002 22.1901338112 21.9422840000 23.4535410000
22.9164737934 24.2527630000 21.9457305306 21.9422840000 21.9457305306 22.9164737934 21.9422840000 24.2527630000
23.6428137756 25.1246420000 21.9638518609 21.9422840000 21.9638518609 23.6428137756 21.9422840000 25.1246420000
24.4417871562 25.7785510000 21.9837853094 22.0149410000 21.9837853094 24.4417871562 22.0149410000 25.7785510000
25.0954927403 26.5777730000 22.0000944967 22.0149410000 22.0000944967 25.0954927403 22.0149410000 26.5777730000
